repo,item_type,last_page,items_fetched,total_expected,updated_at,status,sync_started_at,next_url
Azure/azure-sdk-for-js,issue,390,10249,,2026-06-18T19:02:28.505706+00:00,complete,2026-06-28T07:13:47.415499+00:00,
Azure/azure-sdk-for-js,pr,287,28669,,2026-06-18T18:56:01.764019+00:00,complete,2026-06-28T07:13:47.415499+00:00,
dotnet/coreclr,pr,0,18208,,,complete,2023-01-21T00:23:55Z,
dotnet/corefx,pr,0,24927,,,complete,2023-01-20T23:48:58Z,
dotnet/maui,issue,0,17518,,,complete,2026-06-28T07:13:18.186768+00:00,
dotnet/maui,pr,0,13897,,,complete,2026-06-28T07:13:18.186768+00:00,
dotnet/roslyn,issue,0,35992,,,complete,2026-06-28T07:12:57.058204+00:00,
dotnet/roslyn,pr,0,45603,,,complete,2026-06-28T07:12:57.058204+00:00,
dotnet/runtime,issue,0,71055,,,complete,2026-06-28T07:12:48.977167+00:00,
dotnet/runtime,pr,0,52445,,,complete,2026-06-28T07:12:48.977167+00:00,
golang/go,issue,0,71248,,,complete,2026-06-28T07:15:39.929522+00:00,
golang/go,pr,0,5060,,,complete,2026-06-28T07:15:39.929522+00:00,
microsoft/aspire,issue,0,6836,,,complete,2026-06-28T07:13:37.415788+00:00,
microsoft/aspire,pr,0,8722,,,complete,2026-06-28T07:13:37.415788+00:00,
microsoft/pyright,issue,0,7475,,,complete,2026-04-15T15:54:15Z,
microsoft/pyright,pr,0,2395,,,complete,2026-04-15T23:10:21Z,
microsoft/vcpkg,issue,0,11332,,,complete,2026-06-28T07:13:51.455261+00:00,
microsoft/vcpkg,pr,0,27724,,,complete,2026-06-28T07:13:51.455261+00:00,
microsoft/vscode,issue,0,240799,,,complete,2026-06-28T07:15:35.927634+00:00,
microsoft/vscode,pr,0,55915,,,complete,2026-06-28T07:15:35.927634+00:00,
microsoft/vscode-python,issue,0,12066,,,complete,2026-04-13T12:43:46Z,
microsoft/vscode-python,pr,0,7532,,,complete,2026-04-15T22:20:07Z,
rust-lang/rust,issue,0,62221,,,complete,2026-06-28T07:16:43.617970+00:00,
rust-lang/rust,pr,0,93097,,,complete,2026-06-28T07:16:43.617970+00:00,
